ID;Text;Username;Name;Language;Created at
1390302913445040132;"RT @BirGun_Gazetesi: Gazeteci-yazar Altan Öymen, 10 bin kitabını ve arşivini Beşiktaş Belediyesi’ne bağışladı
https://t.co/lroYxBTaCO";Anil__Ari;Anıl Arı;tr;2021-05-06 13:50:19
1389961896812597255;"Pelin Akil &amp; Anıl Altan ya da Larissa &amp; Burak Gacemer gibi olmayacaksak boşuna evlenmeyelim";messybeyza;Beyza;tr;2021-05-05 15:15:15
1389905621693214725;Baht Oyunu stars Aytaç Şaşmaz ve Cemre Baysel as leads, and they are joined by İdris Nebi Taşkan, Aslı Sümen, Hande… https://t.co/b3cd09RO08;rosemiyy;lamz :);tr;2021-05-05 11:31:38
1389889980420526082;"RT @DiziciBagyan: Başrollerini Aytaç Şaşmaz ve Cemre 
Baysel’in paylaştığı #BahtOyunu nun oyuncu kadrosunda İdris Nebi Taşkan, Aslı Sümen,…";Hayyal10;Hayyal;tr;2021-05-05 10:29:28
1390726525893455875;"7.05.2021 tarihinde Malatya’da 12 kişi vefat etti
￼
MEHMET ÖZBAYRAK 80
İNSAF ÇAPUT 87
ALAADDİN ALPAY YAŞ 62
RAHİME… https://t.co/hvsVWZVrhS";TDuyurular;Türkiye Vefat Duyuruları;tr;2021-05-07 17:53:36
1390141229229293575;günaydın zeynep alkan;heraLuno;asl;tr;2021-05-06 03:07:51
1389505078109818882;"SES DEĞİŞİKLİĞİNİN ALTINDA HANGİ SORUNLAR YATIYOR? Prof. Dr. Zeynep Alkan bilgi verdi.

https://t.co/BQFOsph5sd https://t.co/xT7nuYbLO9";sagliktayenilik;Sağlıkta Yenilikler;tr;2021-05-04 09:00:01
1391557721388945408;Simon Lane is still single according to our most recent data https://t.co/RoeZFcgqNW;cuntidiot;Cuntidiot™;en;2021-05-10 00:56:29
1391538354324484096;RT @1924Nurmi: ‘Gateshead Revisited’. A wonderful journey down athletics’ memory lane from Simon Turnbull. Lovely historical reminisces 👏👏…;Statman_Jon;Jon Mulkeen;en;2021-05-09 23:39:31
1391486055623364608;@simon_brooke @MichaelShevlin4 @colm1798 K but in the end in 2016 I voted Grn2 in vain.  Assuming that  thon ither… https://t.co/JxXkRJp0gN;rosa_alba_macd;Rosa Alba Macdonald;en;2021-05-09 20:11:42
1391449815159037956;"SecDef Comms Cables Chief duty complete; loved the framed gift displaying the SDC team! Other pics show my EoT awar… https://t.co/1ogNWFcUio";Lane_Askew;Lane Askew;en;2021-05-09 17:47:42
1391420016457830405;RT @ShoJones_: When you already going 20 over the speed limit in the left lane and somebody pass you in the right lane: https://t.co/jrmjvq…;_Simon_Says__;JC Squires;en;2021-05-09 15:49:17
1391400630829387787;RT @1924Nurmi: ‘Gateshead Revisited’. A wonderful journey down athletics’ memory lane from Simon Turnbull. Lovely historical reminisces 👏👏…;smokymozzarella;Gabby Pieraccini;en;2021-05-09 14:32:16
1391399575596961795;‘Gateshead Revisited’. A wonderful journey down athletics’ memory lane from Simon Turnbull. Lovely historical remin… https://t.co/uUkRqkAP8d;1924Nurmi;Nurmi1924;en;2021-05-09 14:28:04
1391379622533685248;@BwehttaM -Simon Lane;simplycaoimhin;sc /;it;2021-05-09 13:08:47
1391162628840513536;RT @garfaz: Ayuden a difundir. Es mi prima y no sabemos de ella desde el 16 de abril. Salió a una supuesta entrevista de trabajo y desapare…;Perluisa_Lane;Perla;es;2021-05-08 22:46:31
1391152456390701058;"Jaiby&lt;3 - DON’T GO! (feat. Adam Alobaid) [prod. Simon Lane] by Jaiby&lt;3 on #SoundCloud https://t.co/cYqbF7302C";_Jaiby_;Jai Vella;en;2021-05-08 22:06:06
1391433643088924675;I still have seen zero things related to Yahtzee aside from the PC master race meme and Lewis brindley's ttt skin;who_is_sumi;samara (pfizer squad);en;2021-05-09 16:43:26
1391530308248522753;"RT @RacingPost: ⭕️ Bolshoi Ballet magic show proves Aidan O'Brien knew what he was doing all along.

Chris Cook runs the rule over the acti…";Turfline;Turfline/Trading;en;2021-05-09 23:07:33
1391501982830039046;"⭕️ Bolshoi Ballet magic show proves Aidan O'Brien knew what he was doing all along.

Chris Cook runs the rule over… https://t.co/8Qb76EaLe0";RacingPost;Racing Post;en;2021-05-09 21:15:00
1391441585531981825;"⭕️ Bolshoi Ballet magic show proves Aidan O'Brien knew what he was doing all along

Chris Cook runs the rule over t… https://t.co/EB43bkRrJO";RacingPost;Racing Post;en;2021-05-09 17:15:00
1391091056310116357;6️⃣-4️⃣- 3️⃣ DOUBLE PLAY FOR TYLER COOK AND AIDAN CHAMPAGNE IN THE 1ST!;RaidasBarstool;RaidasBarstool;en;2021-05-08 18:02:07
1390874277038026758;RT @BettensColby: @bott1ng Matt and Aidan helped me cook a pair of Jordan 11 Legend Blue size 9.5. Legit! https://t.co/y7ntYDFD3L;bott1ng;a1dan;en;2021-05-08 03:40:43
1390818652618989569;@bott1ng Matt and Aidan helped me cook a pair of Jordan 11 Legend Blue size 9.5. Legit! https://t.co/y7ntYDFD3L;BettensColby;Colby Bettens;en;2021-05-07 23:59:41
1390425991168749572;"RT @wceua: Last Night’s Top Performers ⬇️:

Jaden Alexander: 42 PTS, 12 REB

Andrew Cook: 36 PTS, 5 REB, 3 STL 

Miles Byrd: 29 PTS, 5 REB,…";milk_coach;WCE-Billy Evans (Milk);en;2021-05-06 21:59:23
1390382351234920449;"RT @wceua: Last Night’s Top Performers ⬇️:

Jaden Alexander: 42 PTS, 12 REB

Andrew Cook: 36 PTS, 5 REB, 3 STL 

Miles Byrd: 29 PTS, 5 REB,…";Jaden__A;Jaden Alexander;en;2021-05-06 19:05:59
1390373512754307076;"RT @wceua: Last Night’s Top Performers ⬇️:

Jaden Alexander: 42 PTS, 12 REB

Andrew Cook: 36 PTS, 5 REB, 3 STL 

Miles Byrd: 29 PTS, 5 REB,…";RyanSilver1;Ryan Silver;en;2021-05-06 18:30:51
1390373401773047808;"RT @wceua: Last Night’s Top Performers ⬇️:

Jaden Alexander: 42 PTS, 12 REB

Andrew Cook: 36 PTS, 5 REB, 3 STL 

Miles Byrd: 29 PTS, 5 REB,…";malik__bray;Malik Bray;en;2021-05-06 18:30:25
1391379826469183492;RT @TheClemReport: Alfred every time Bruce Wayne leaves the manor dressed in a costume:;maycee_forester;marcella;en;2021-05-09 13:09:35
